30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
0.6204876000  1.2483540000  0.0085612690  4  4
0.6204876000  1.2483540000  0.0085612690  5  4
0.6204876000  1.2483540000  0.0085612690  6  4
1.4026800000  0.0846144900  0.0034381850  1  4
1.4026800000  0.0846144900  0.0034381850  4  4
1.4026800000  0.0846144900  0.0034381850  5  4
1.4026800000  0.0846144900  0.0034381850  6  4
0.7552322000  -1.1578670000  0.0008732789  1  4
0.7552322000  -1.1578670000  0.0008732789  4  4
0.7552322000  -1.1578670000  0.0008732789  5  4
0.7552322000  -1.1578670000  0.0008732789  6  4
-0.6316438000  -1.2450800000  0.0222553100  1  4
-0.6316438000  -1.2450800000  0.0222553100  4  4
-0.6316438000  -1.2450800000  0.0222553100  5  4
-0.6316438000  -1.2450800000  0.0222553100  6  4
-1.3723470000  -0.0967337300  -0.0409589600  1  4
-1.3723470000  -0.0967337300  -0.0409589600  4  4
-1.3723470000  -0.0967337300  -0.0409589600  5  4
-1.3723470000  -0.0967337300  -0.0409589600  6  4
-1.3066480000  2.1138180000  0.0298086200  1  3
1.1319330000  2.2497440000  0.0024548870  1  3
2.4608270000  0.1185609000  0.0068245180  1  3
1.3204490000  -2.0762240000  0.0542082500  1  3
-1.0734700000  -2.2043020000  0.1988113000  1  3
-2.4574940000  -0.1126325000  -0.0183708400  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7577341000  1.1582150000  -0.0113555900  1  4
-0.7577341000  1.1582150000  -0.0113555900  4  4
-0.7577341000  1.1582150000  -0.0113555900  5  4
-0.7577341000  1.1582150000  -0.0113555900  6  4
0.6196814000  1.2493880000  0.0096118940  1  4
0.6196814000  1.2493880000  0.0096118940  4  4
0.6196814000  1.2493880000  0.0096118940  5  4
0.6196814000  1.2493880000  0.0096118940  6  4
1.4020250000  0.0849494600  0.0035471660  1  4
1.4020250000  0.0849494600  0.0035471660  4  4
1.4020250000  0.0849494600  0.0035471660  5  4
1.4020250000  0.0849494600  0.0035471660  6  4
0.7551187000  -1.1559930000  0.0021192960  1  4
0.7551187000  -1.1559930000  0.0021192960  4  4
0.7551187000  -1.1559930000  0.0021192960  5  4
0.7551187000  -1.1559930000  0.0021192960  6  4
-0.6316949000  -1.2449330000  0.0259548800  1  4
-0.6316949000  -1.2449330000  0.0259548800  4  4
-0.6316949000  -1.2449330000  0.0259548800  5  4
-0.6316949000  -1.2449330000  0.0259548800  6  4
-1.3698220000  -0.0982039600  -0.0447194400  1  4
-1.3698220000  -0.0982039600  -0.0447194400  4  4
-1.3698220000  -0.0982039600  -0.0447194400  5  4
-1.3698220000  -0.0982039600  -0.0447194400  6  4
-1.3036200000  2.1090300000  0.0297779300  1  3
1.1295260000  2.2405310000  0.0060698710  1  3
2.4698280000  0.1189013000  0.0041222120  1  3
1.3178640000  -2.0704100000  0.0607215900  1  3
-1.0702490000  -2.2059900000  0.2213551000  1  3
-2.4552230000  -0.1156361000  -0.0192955500  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7561671000  1.1569960000  -0.0131926000  1  4
-0.7561671000  1.1569960000  -0.0131926000  4  4
-0.7561671000  1.1569960000  -0.0131926000  5  4
-0.7561671000  1.1569960000  -0.0131926000  6  4
0.6196322000  1.2501370000  0.0107502000  1  4
0.6196322000  1.2501370000  0.0107502000  4  4
0.6196322000  1.2501370000  0.0107502000  5  4
0.6196322000  1.2501370000  0.0107502000  6  4
1.4013320000  0.0851332700  0.0036097430  1  4
1.4013320000  0.0851332700  0.0036097430  4  4
1.4013320000  0.0851332700  0.0036097430  5  4
1.4013320000  0.0851332700  0.0036097430  6  4
0.7552095000  -1.1540400000  0.0033468980  1  4
0.7552095000  -1.1540400000  0.0033468980  4  4
0.7552095000  -1.1540400000  0.0033468980  5  4
0.7552095000  -1.1540400000  0.0033468980  6  4
-0.6313826000  -1.2450880000  0.0296132900  1  4
-0.6313826000  -1.2450880000  0.0296132900  4  4
-0.6313826000  -1.2450880000  0.0296132900  5  4
-0.6313826000  -1.2450880000  0.0296132900  6  4
-1.3679870000  -0.0999017500  -0.0482271600  1  4
-1.3679870000  -0.0999017500  -0.0482271600  4  4
-1.3679870000  -0.0999017500  -0.0482271600  5  4
-1.3679870000  -0.0999017500  -0.0482271600  6  4
-1.2987030000  2.1020850000  0.0293858900  1  3
1.1257710000  2.2289120000  0.0094202000  1  3
2.4778970000  0.1174018000  0.0010550690  1  3
1.3147000000  -2.0627460000  0.0687436800  1  3
-1.0674560000  -2.2070040000  0.2427780000  1  3
-2.4540500000  -0.1186924000  -0.0201435100  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7544071000  1.1558530000  -0.0153926400  1  4
-0.7544071000  1.1558530000  -0.0153926400  4  4
-0.7544071000  1.1558530000  -0.0153926400  5  4
-0.7544071000  1.1558530000  -0.0153926400  6  4
0.6195262000  1.2510230000  0.0117895200  1  4
0.6195262000  1.2510230000  0.0117895200  4  4
0.6195262000  1.2510230000  0.0117895200  5  4
0.6195262000  1.2510230000  0.0117895200  6  4
1.4008440000  0.0850410100  0.0037244610  1  4
1.4008440000  0.0850410100  0.0037244610  4  4
1.4008440000  0.0850410100  0.0037244610  5  4
1.4008440000  0.0850410100  0.0037244610  6  4
0.7549521000  -1.1520910000  0.0044299320  1  4
0.7549521000  -1.1520910000  0.0044299320  4  4
0.7549521000  -1.1520910000  0.0044299320  5  4
0.7549521000  -1.1520910000  0.0044299320  6  4
-0.6303304000  -1.2451370000  0.0335251100  1  4
-0.6303304000  -1.2451370000  0.0335251100  4  4
-0.6303304000  -1.2451370000  0.0335251100  5  4
-0.6303304000  -1.2451370000  0.0335251100  6  4
-1.3662870000  -0.1016646000  -0.0518470200  1  4
-1.3662870000  -0.1016646000  -0.0518470200  4  4
-1.3662870000  -0.1016646000  -0.0518470200  5  4
-1.3662870000  -0.1016646000  -0.0518470200  6  4
-1.2927910000  2.0935990000  0.0293646500  1  3
1.1201850000  2.2148470000  0.0144533500  1  3
2.4833930000  0.1170464000  -0.0024960310  1  3
1.3136060000  -2.0553200000  0.0758095200  1  3
-1.0676260000  -2.2070800000  0.2629193000  1  3
-2.4522250000  -0.1241601000  -0.0211671600  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7526206000  1.1548200000  -0.0174766800  1  4
-0.7526206000  1.1548200000  -0.0174766800  4  4
-0.7526206000  1.1548200000  -0.0174766800  5  4
-0.7526206000  1.1548200000  -0.0174766800  6  4
0.6195092000  1.2520980000  0.0124770000  1  4
0.6195092000  1.2520980000  0.0124770000  4  4
0.6195092000  1.2520980000  0.0124770000  5  4
0.6195092000  1.2520980000  0.0124770000  6  4
1.3999390000  0.0852035300  0.0040466340  1  4
1.3999390000  0.0852035300  0.0040466340  4  4
1.3999390000  0.0852035300  0.0040466340  5  4
1.3999390000  0.0852035300  0.0040466340  6  4
0.7549787000  -1.1495770000  0.0053332380  1  4
0.7549787000  -1.1495770000  0.0053332380  4  4
0.7549787000  -1.1495770000  0.0053332380  5  4
0.7549787000  -1.1495770000  0.0053332380  6  4
-0.6290548000  -1.2454060000  0.0375875600  1  4
-0.6290548000  -1.2454060000  0.0375875600  4  4
